restriction,parameter_block,target,empirical_se,source,observer,proxy_key,comparison_status,unresolved_mapping,weight,weight_status
initial_fertility_benchmark,psi_child_2007,2.1,,Author decision recorded CALIBRATION_STATUS.md,"calibration.extract_moments(old.solution,old.parameters)[tfr]",tfr,normalization_only_not_female_rate,"Saved normalization is completed parity, not female exposure TFR; do not alter 2.1 or renewal law.",,not adopted; no objective computed
childless_women40_44,first_birth_fixed_cost,0.19827875100684264,,CPS2004/06; parameter_target_audit/fertility/cps_initial_window_candidates.csv,"target_age_fertility_moments(evaluation.g_current,P)[childless_rate]",childless_rate,not_comparable_age_and_population,One age cell labelled42 differs CPS40–44 and all women; initial stationary cohort approximation disclosed.,,not adopted; no objective computed
period_first_birth_mean_age,kappa_fert,25.976263860992496,,NCHS2003/06; parameter_target_audit/fertility/nchs_period_timing_candidates.csv,"period_fertility_diagnostics(evaluation,P)[period_first_birth_mean_age]",period_first_birth_mean_age,available_under_maternal_age_approximation,Model household age needs maternal-age interpretation; boundary-collapsed bins18–45 vs empirical12–49; no new SE.,,not adopted; no objective computed
period_first_birth_share_age30plus,kappa_fert,0.2492780130410667,,NCHS2003/06; parameter_target_audit/fertility/nchs_period_timing_candidates.csv,"period_fertility_diagnostics(evaluation,P)[period_first_birth_share_age30plus]",period_first_birth_share_age30plus,available_under_maternal_age_approximation,Uses midpoint-coded birth flow at30+; same household/mother bridge as mean; no new SE.,,not adopted; no objective computed
exactly_one_given_mother40_44,kappa_fert_continuation,0.21365532522014702,,CPS2004/06; parameter_target_audit/fertility/cps_initial_window_candidates.csv,No existing named observer; parity masses available in target_age_fertility_moments and old.solution.parity_dist,,not_implemented,Need agreed40–44 observation weights and P(n=1)/P(n>0); do not treat terminal pooled parity as exact CPS stock.,,not adopted; no objective computed
aggregate_wealth_gross_earnings,beta,6.14586139445743,0.36285515343369,PSID2003/05; design_research/wealth/aggregate_wealth_results.csv,extract_moments plus solver.add_aggregate_wealth_bequest_flow_moments,aggregate_wealth_to_annual_gross_labor_earnings,available_existing_observer,"Annual gross labor denominator and18–85/18–65 ages implemented; national versus metro approximation, PSID wave/income clock and population weighting retained.",,not adopted; no objective computed
annual_bequests_wealth,theta0,0.0088,,e5_target_provenance.csv; external Gale–Scholz via DeNardi–Yang,extract_moments plus solver.add_aggregate_wealth_bequest_flow_moments,annual_bequest_flow_to_aggregate_wealth,available_external_restriction,Historical borrowed restriction; no empirical SE. Mortality-weighted post-saving estates include forced terminal deaths.,,not adopted; no objective computed
old_wealth_income_p90_p50,theta1,3.51593508651872,0.306910785103348,PSID2003/05; design_research/wealth/old_wealth_results.csv,extract_moments plus solver.add_annual_gross_old_wealth_moments,old_total_wealth_to_annual_income_p90_p50_7684,available_with_age_income_approximation,"Model selects age-cell starts78,82 (78–85 if four-year spans), not exact76–84; income gross schedule vs PSID family income>1000.",,not adopted; no objective computed
mean_occupied_rooms_capped9,H0,5.561097376118652,0.08838120078007809,ACS2005/06; design_research/housing/early_housing_target_candidates.csv,extract_moments aggregate_mean_occupied_rooms_18_85 (UNCAPPED only),aggregate_mean_occupied_rooms_18_85,not_comparable_missing_censoring,"Must integrate min(h,9) over full income-resolved realized states; cannot cap aggregate mean or alter economic housing cap; no existing capped observer.",,not adopted; no objective computed
ownership30_55,chi,0.6483340343191493,0.020675272863460718,ACS2005/06; design_research/housing/early_housing_target_candidates.csv,extract_moments[own_rate]; solver.compute_statistics,own_rate,available_with_age_population_approximation,"age_to_index rounds boundaries (30–57 spans); ACS standard structures/heads30–55, national model vs42city proxy, stationary vs2007reweighted mass choice.",,not adopted; no objective computed
first_birth_rooms_response,hbar_first_child_jump,0.7202462623815278,0.0852600513385958,Reviewed PSID Sun–Abraham; e5_target_provenance.csv,"first_birth_housing_response(evaluation,P,grid,shared)",housing_increment_0to1,available_under_time_stability_assumption,"One-period stationary treated/control branch; hold policy fixed, exclude second birth inside event window. Retain uncapped PSID observer and reviewed estimator.",,not adopted; no objective computed
rooms3plus_minus1to2_capped9,hbar_child_rooms,0.3470669317962507,0.059705154633000496,ACS2005/06; design_research/housing/early_housing_target_candidates.csv,extract_moments[prime30_55_parent_3plus_minus_1to2_mean_rooms]; solver.current_child_bin_dt,prime30_55_parent_3plus_minus_1to2_mean_rooms,not_comparable_group_and_censoring,Model current dependent count vs resident own children any age with under18 signal;9room censoring missing; age boundary approximation.,,not adopted; no objective computed
recent_parent_ownership_gap,joint housing/fertility,0.16289550916123285,0.006079524679464666,ACS2005/06; design_research/housing/early_housing_target_candidates.csv,extract_moments[own_family_gap]; solver.compute_statistics,own_family_gap,not_comparable_family_groups,Empirical eldest<4 vs no resident children; current observer anydependent parent vs neverparent. Child-count-only states lack exact child-age history; requires flow-based recentbirth observer or explicit approximation.,,not adopted; no objective computed
