parameter,estimate,actual_lower,actual_upper,near_bound_1pct_range,restriction_label,structural_coordinate
beta_annual,0.985,0.94,0.99,False,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
kappa_fert,0.33773423411167025,0.02,50.0,True,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
kappa_fert_continuation,0.39785645171756406,0.02,50.0,True,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
chi,1.0496534423047694,0.1,5.0,False,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
H0,8.11210048056786,0.2,80.0,False,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
theta0,0.08105103333987912,0.0,8.0,False,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
theta1,0.08520356663830632,0.02,16.0,True,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
first_birth_fixed_cost,0.26576477618628114,0.0,8.0,False,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
h_P,2.3,0.1,2.3,True,frozen v5 structural bound; diagnostic candidate; not a certified estimate,True
hbar_child_rooms,0.0,,,False,zero restriction,False
psi_child,0.19105506267539188,,,False,normalized to 2.1,False
payroll_tax,0.179,,,False,externally fixed,False
pension_period,2.046361389612121,,,False,budget derived,False
housing_supply_elasticity,0.63,,,False,externally fixed,False
tenure_choice_kappa,0.005,,,False,externally fixed,False
alpha_cons,0.733,,,False,externally fixed,False
sigma,2.0,,,False,externally fixed,False
