parameter,estimate,lower,upper,transform,near_bound,status,interpretation
beta_annual,0.99496478702401,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert,1.7778136991989921,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert_continuation,1.6066069512351577,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
chi,1.0758378806627833,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
H0,7.464725952007817,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
theta0,0.44418894112730545,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
theta1,0.119707418775083,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate
first_birth_fixed_cost,4.337547442079559,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
h_P,0.9204536312929574,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement
hbar_child_rooms,0.0,,,,False,zero restriction,
psi_child,0.28743210605517233,,,,False,normalized to 2.1,
payroll_tax,0.179,,,,False,externally fixed,
pension_period,2.0463613896121218,,,,False,budget derived,
housing_supply_elasticity,0.63,,,,False,externally fixed,
tenure_choice_kappa,0.005,,,,False,externally fixed,
alpha_cons,0.733,,,,False,externally fixed,
sigma,2.0,,,,False,externally fixed,
