parameter,estimate,lower,upper,transform,near_bound,status,interpretation
beta_annual,0.9952836611830043,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert,1.8128241300195855,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert_continuation,1.7517538128231893,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
chi,1.0935481022419733,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
H0,6.752265577952602,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
theta0,0.3597750923329617,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
theta1,0.10713920269161524,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate
first_birth_fixed_cost,5.151756669291239,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
h_P,0.8526397224516106,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement
hbar_child_rooms,0.0,,,,False,zero restriction,
psi_child,0.319214758569494,,,,False,normalized to 2.1,
payroll_tax,0.179,,,,False,externally fixed,
pension_period,2.0463613896121218,,,,False,budget derived,
housing_supply_elasticity,0.63,,,,False,externally fixed,
tenure_choice_kappa,0.005,,,,False,externally fixed,
alpha_cons,0.733,,,,False,externally fixed,
sigma,2.0,,,,False,externally fixed,
