key,label,target,parameter_connection,confidence,recommendation,B_floor_model,B_floor_gap,B_floor_actual_weight,B_floor_loss_contribution,B_shares_model,B_shares_gap,B_shares_actual_weight,B_shares_loss_contribution,comparison_status
initial_normalization,"Mean children ever born, ages 46+",2.1,Fertility utility scale psi (separate normalization),Confident as normalization,Keep; do not label it period TFR or a measured cohort target.,2.1004535857972586,0.00045358579725851556,,,2.1000237748860777,2.3774886077632118e-05,,,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
cps_childlessness,"Childless women, ages 40-44",0.19827875100684264,First-birth taste scale and birth cost jointly,Medium,Keep empirical share; accept stated female-exposure and age-cell approximation.,0.16908890195850687,-0.02918984904833577,35532.3042455214,30.27520344976442,0.14960013218749604,-0.0486786188193466,35532.3042455214,84.19762991701852,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
cps_exactly_one,"Exactly one child, among mothers 40-44",0.21365532522014702,Continuation-birth taste scale; other fertility preferences,Medium,Keep conditional stock; it is not a second-birth hazard.,0.24628764714270338,0.03263232192255636,26952.820824310795,28.701208104612228,0.2528243390739277,0.03916901385378069,26952.820824310795,41.35133160869275,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
nchs_mean_age,"Mean first-birth age, grouped",25.976263860992496,First-birth cost and taste scale jointly,Medium,Keep grouped data/model convention; no substitution of the raw mean.,26.65785175423363,0.681587893241133,139.82806784479274,64.95881471425186,25.726968019835528,-0.24929584115696812,139.82806784479274,8.690092987364947,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
nchs_share30,Share of first births at ages 30+,0.2492780130410667,First-birth cost and taste scale jointly,Medium,"Keep; same period, support and timing contract as mean age.",0.2656151739341508,0.016337160893084096,13866.065434728798,3.7008920506750336,0.21398455415141035,-0.03529345888965635,13866.065434728798,17.271962688675124,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
wealth_earnings,Aggregate wealth / annual gross earnings,6.14586139445743,Annual discount factor beta,Confident on audited definition,Retain the July stock/flow definition and current early-period value.,5.241228799016975,-0.9046325954404555,7.595098472533724,6.215525794105448,6.869373735361866,0.7235123409044357,7.595098472533724,3.9758070134423282,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
bequest_wealth,Annual bequest flow / wealth,0.0088,Bequest strength theta0,Medium,"Retain borrowed restriction; 5% tolerance is assigned, coverage approximate.",0.006828978658138667,-0.0019710213418613334,5165289.256198346,20.066762035500258,0.006928705859424896,-0.0018712941405751044,5165289.256198346,18.087509093753706,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
old_dispersion,"Old wealth/income, p90/p50",3.51593508651872,Bequest wealth shift theta1; retirement saving,Medium,Retain signed-off object; pure wealth-level alternative is an explicit optional choice.,4.099379451924179,0.5834443654054589,10.616361531535473,3.613887256971993,3.118421218970699,-0.397513867548021,10.616361531535473,1.677568518491958,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
mean_rooms,"Mean rooms, capped at 9",5.561097376118652,Housing supply intercept H0; demand jointly,Confident conditional on population,Keep 42-metro value unless the whole housing-population choice changes.,6.4766574270419115,0.9155600509232595,128.02070205233477,107.31337997601678,7.088198588001713,1.5271012118830614,128.02070205233477,298.549156225871,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
ownership_30_55,"Ownership, ages 30-55",0.6483340343191493,Owner service multiplier chi; credit restrictions fixed,Confident conditional on population,Keep; no identified scalar or age-mask bug explains the low model ownership.,0.3949335608051644,-0.25340047351398487,2339.3623724673616,150.21466873485582,0.5132500461717419,-0.1350839881474074,2339.3623724673616,42.68794499228077,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
first_birth_rooms,"First-birth room response, -1 to +3",0.7202462623815278,"Parenthood housing floor h_P, or share-jump parameter",Problematic model/data match,Retain empirical evidence; repair common estimator before using fit for adoption.,0.9872508159626951,0.26700455358116737,137.5652749002964,9.807225390640127,1.0436545968870465,0.32340833450551876,137.5652749002964,14.388358033236589,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
family_rooms,"Rooms, 3+ versus 1-2 resident children",0.3470669317962507,Housing preferences; child-share slope in alternative,Medium,Prefer measured minor-child candidate 0.336220 if its dependent proxy is accepted.,0.28295153526889294,-0.06411539652735776,280.52808370152104,1.153190378189711,0.491630448929107,0.1445635171328563,280.52808370152104,5.862647151612059,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
recent_parent_ownership,Recent-parent ownership gap,0.16289550916123285,Owner service multiplier and parenthood housing demand,Medium; recency approximation,Retain provisionally; exact child-age history measurement remains distinct work.,0.12501101188614658,-0.037884497275086276,27055.822957508266,38.83146768211024,0.0550749495928361,-0.10782055956839676,27055.822957508266,314.53132989670456,Unchanged overnight selected points; no new target adoption or rescore; first-birth model/data estimator match unresolved.
