parameter,estimate,lower,upper,transform,near_bound,status,interpretation
beta_annual,0.9950524502530792,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert,1.3150634238661971,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert_continuation,1.0740266518485524,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
chi,1.0827315241504547,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
H0,5.882941724123531,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
theta0,0.34593469518160364,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
theta1,0.12725701988326887,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate
first_birth_fixed_cost,2.8906854897573093,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
h_P,1.1818858574626845,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement
hbar_child_rooms,0.0,,,,False,zero restriction,
psi_child,0.2935072825668141,,,,False,normalized to 2.1,
payroll_tax,0.179,,,,False,externally fixed,
pension_period,2.0463613896121218,,,,False,budget derived,
housing_supply_elasticity,0.63,,,,False,externally fixed,
tenure_choice_kappa,0.005,,,,False,externally fixed,
alpha_cons,0.733,,,,False,externally fixed,
sigma,2.0,,,,False,externally fixed,
