moment,target,authoritative_builder,sample_geography_vintage,estimator_measurement,fixed_effects,clustering,uncertainty_type,standard_error_or_scale,weight,status,caveat
"tfr",1.918,"code/data/cps_fertility/build_cps_fertility_targets.py","June 2024 CPS Fertility Supplement; United States; women ages 40--44 with PTSF1 in 0--5 and positive PWSSWGT; N=3278","PWSSWGT-weighted mean children ever born; PTSF1 is capped at five; active target is the published rounded value","none","person-level resampling with replacement; 1000 draws; seed 20260724","person-bootstrap standard error",0.026483780917,1425.7389910084596,"measured","This is completed fertility rather than period TFR; the builder estimate is 1.918424850350 and the public-use top code can understate an uncapped mean."
"childless_rate",0.188,"code/data/cps_fertility/build_cps_fertility_targets.py","June 2024 CPS Fertility Supplement; United States; women ages 40--44 with PTSF1 in 0--5 and positive PWSSWGT; N=3278","PWSSWGT-weighted share with PTSF1 equal to zero; active target is the published rounded value","none","person-level resampling with replacement; 1000 draws; seed 20260724","person-bootstrap standard error",0.00762920033,17180.743822072007,"measured","The builder estimate is 0.188179593021; do not substitute an ACS current-children measure for completed childlessness."
"mean_age_first_birth",26.0446272574833,"code/data/nchs_natality_timing/build_first_birth_timing.R","National NCHS natality files 1987--2023; first births assigned to maternal cohorts 1979--1984; observed maternal ages 12--49; N=10578871","First-birth-count-weighted mean after collapsing exact ages to seven four-year model cells and labeling them by midpoints 20 through 44","none","none; full national first-birth count target","rounded primary-versus-1975--1980 cohort-window stability scale; not a sampling standard error",0.15,44.44444444444444,"measured","Cohort assignment has an unavoidable plus-or-minus-one-year blur; boundary ages are coarsened; the small right tail after 2023 is diagnosed but not imputed."
"share_first_births_age30plus",0.260327401666964,"code/data/nchs_natality_timing/build_first_birth_timing.R","National NCHS natality files 1987--2023; first births assigned to maternal cohorts 1979--1984; observed maternal ages 12--49; N=10578871","First-birth-count share in model cells beginning at age 30 or later; this classification is identical to exact age at least 30 under the declared operator","none","none; full national first-birth count target","rounded primary-versus-1975--1980 cohort-window stability scale; not a sampling standard error",0.01,10000.0,"measured","Cohort assignment has an unavoidable plus-or-minus-one-year blur; the target preserves all observed births through boundary collapse and does not impute the right tail."
"housing_increment_0to1",0.7202462623815278,"code/data/psid_followup_mar2026/sa_rooms_first_birth_household_aligned_v1.do; code/data/psid_followup_mar2026/finalize_first_birth_rooms_target_receipt.py","PSID panel; current women ages 18+ who are reference person or spouse; positive IW; valid single-family-unit dwelling; one woman per household-year; 49457 household-years and 4112 women; 2486 treated and 1654 confirmed childless controls","Sun--Abraham event-study contrast in occupied rooms from event time -1 to +3 around the first biological child; model analogue branches the same dated risk set into birth and no-birth states and advances both one four-year model period","person and survey-year fixed effects","person ID; analytic full-covariance clustered standard error for the +3 minus -1 contrast","cluster-robust standard error for the four-year contrast",0.0852600513385958,137.5652749002964,"provisional","Earlier leads reject a flat prepath; the contrast can include another birth and remains a provisional rather than causal mapping. In the model, 2019 policies advance both matched branches and 2023 policies govern continuation fertility and housing; the Census age bridge is excluded from the comparison. ACTUALROOMS_ is shifted forward one observed interview before vintage-specific missing codes are applied."
"prime30_55_parent_3plus_minus_1to2_mean_rooms",0.36769955881,"code/data/moment_standard_errors/build_active_acs_room_target_receipt.R","Pooled 2012--2023 IPUMS ACS household heads in 42 matched MMS metros; ages 30--55 with an own child under 18; positive HHWT and literal ROOMS; N=918595","HHWT-weighted mean ROOMS for NCHILD at least 3 minus the HHWT-weighted mean for NCHILD 1--2","none","not used in the active weight; audit resamples 42 MET2013 clusters","declared synthetic five-percent calibration scale; audited metro-bootstrap SE 0.069002912 is not used",0.0183849779405,2958.514988007638,"provisional","NCHILD counts own children currently in the household rather than completed parity; the legacy analysis cache predates a source-hash manifest."
"own_family_gap",0.16766167,"code/data/mms_center_periphery/audit_ownership_targets.R","Pooled 2012--2023 IPUMS ACS household heads in the matched MMS center and periphery sample; ages 30--55; DUE-style standard structures with positive rooms","HHWT-weighted ownership rate for heads with NCHILD above zero and ELDCH below four minus the rate for heads with no own child in the household","none","none; no empirical sampling variance enters the active objective","declared synthetic five-percent calibration scale",0.008383083500000001,14229.590955975675,"provisional","The active target truncates the reproduced point 0.167661670600099; empirical no-child household status and the model's nonparent history are not identical."
"own_rate",0.575472,"code/data/mms_center_periphery/audit_ownership_targets.R","Pooled 2012--2023 IPUMS ACS household heads in the matched MMS center and periphery sample; ages 30--55; DUE-style standard structures with positive rooms; N=1806067","HHWT-weighted homeownership rate","none","none; no empirical sampling variance enters the active objective","declared synthetic five-percent calibration scale",0.0287736,1207.8460856134493,"provisional","The active target truncates the reproduced point 0.575472413107657; the synthetic scale is not an ACS replicate-weight standard error."
"aggregate_mean_occupied_rooms_18_85",5.779970481941968,"code/data/mms_center_periphery/build_intergen_one_market_housing_targets.R; verified by code/data/moment_standard_errors/build_active_acs_room_target_receipt.R","Pooled 2012--2023 IPUMS ACS household heads in 42 matched MMS metros; ages 18--85; owner or renter; positive HHWT and literal ROOMS; N=3986589","Sum of HHWT times ROOMS divided by the sum of HHWT","none","not used in the active weight; audit resamples 42 MET2013 clusters","declared synthetic five-percent calibration scale; audited metro-bootstrap SE 0.113293163 is not used",0.2889985240970984,11.973159013172177,"provisional","The legacy analysis cache predates a source-hash manifest; the active weight deliberately retains the common provisional five-percent rule."
"aggregate_wealth_to_annual_gross_labor_earnings",6.8731,"code/data/psid_followup_mar2026/audit_aggregate_wealth_earnings_ratio.R","PSID waves 2005--2019; reference-person family records; wealth ages 18--85 and RP/spouse labor earnings ages 18--65; 49550 family-years and 10432 people","Ratio of aggregate IW-weighted NETWORTHR to aggregate IW-weighted EARNINDRRC among working-age records","none","reference-person ID bootstrap; 999 draws; seed 20260723","person-cluster bootstrap standard error rounded for the active contract",0.3988,6.287669427540395,"measured","The exact point and SE are 6.87307721116358 and 0.398836186493; gross labor earnings rather than total family income form the denominator; the PSID is weak in the extreme wealth tail."
"annual_bequest_flow_to_aggregate_wealth",0.0088,"docs/model/eqscale_calibration_reconciliation_20260722.md; Gale and Scholz (1994) normalization as transmitted through De Nardi and Yang (2014)","External United States literature normalization; no in-repository microdata sample","Annual bequest flow divided by aggregate wealth","none","none; the source does not provide an uncertainty estimate used here","declared synthetic five-percent calibration scale",0.00044000000000000007,5165289.256198346,"external_normalization","This is a borrowed historical normalization with no in-repository empirical builder; its mapping to the model's accidental bequests, mortality schedule, annualization, and forced terminal bequests is imperfect."
"old_total_wealth_to_annual_income_p90_p50_7684",3.44811075444552,"code/data/psid_followup_mar2026/audit_intergen_bequest_family_size_targets.R","PSID waves 1984--2019; living reference persons ages 76--84 with positive IW, observed completed children, finite NETWORTHR over INCFAMR, and annual family income above 1000; 4015 valid family-years and 1685 people","Weighted p90 divided by weighted median of total net worth over annual family income","none","reference-person ID bootstrap; 499 draws; seed 20260715","person-cluster bootstrap standard error rounded for the active contract",0.1325,56.95977216091135,"measured","The exact bootstrap SE is 0.132477154936326. Despite the older builder key saying estate, this is a living-household wealth statistic; the observed-completed-children filter is inherited even though the moment pools fertility groups."
