"package","load_ok","version"
"data.table",TRUE,"1.18.6.1"
"haven",TRUE,"2.5.5"
"fixest",TRUE,"0.14.2"
"ggplot2",TRUE,"4.0.3"
"digest",TRUE,"0.6.39"
"dplyr",TRUE,"1.2.1"
"readr",TRUE,"2.2.0"
"tidyr",TRUE,"1.3.2"
"scales",TRUE,"1.4.0"
"stringr",TRUE,"1.6.0"
"broom",TRUE,"1.0.13"
"ggrepel",TRUE,"0.9.8"
"here",TRUE,"1.0.2"
"ipumsr",TRUE,"0.10.0"
"jsonlite",TRUE,"2.0.0"
"knitr",TRUE,"1.51"
"matrixStats",TRUE,"1.5.0"
"modelsummary",TRUE,"2.6.0"
"patchwork",TRUE,"1.3.2"
"plm",TRUE,"2.6.7"
"purrr",TRUE,"1.2.2"
"readxl",TRUE,"1.5.0"
"sandwich",TRUE,"3.1.3"
"sf",TRUE,"1.1.2"
"tidycensus",TRUE,"1.8.1"
"tidyselect",TRUE,"1.2.1"
"tigris",TRUE,"2.2.1"
"viridis",TRUE,"0.6.5"
"GGally",TRUE,"2.4.0"
"Hmisc",TRUE,"5.2.6"
"kableExtra",TRUE,"1.4.1"
"tidyverse",TRUE,"2.0.0"
"usethis",TRUE,"3.2.1"
