"target_status","timing_operator","window","cohort_range","moment","target_value","primary_sensitivity_window_spread","declared_standard_error","inverse_variance_weight","support_definition","age_label_convention","age_30plus_rule"
"recommended_model_comparable","boundary_collapsed","primary_1979_1984","1979-1984","mean_age_first_birth",26.0446272574833,0.125586988798773,0.15,44.4444444444444,"all observed ages 12--49; exact ages <22 collapse to 18 and exact ages >=42 collapse to 42","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","not applicable"
"recommended_model_comparable","boundary_collapsed","primary_1979_1984","1979-1984","share_30plus",0.260327401666964,0.00992994150346543,0.01,10000,"all observed ages 12--49; exact ages <22 collapse to 18 and exact ages >=42 collapse to 42","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","bin_start >= 30; identical to exact age >= 30 under this operator"
"recommended_model_comparable","boundary_collapsed","sensitivity_1975_1980","1975-1980","mean_age_first_birth",25.9190402686846,0.125586988798773,0.15,44.4444444444444,"all observed ages 12--49; exact ages <22 collapse to 18 and exact ages >=42 collapse to 42","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","not applicable"
"recommended_model_comparable","boundary_collapsed","sensitivity_1975_1980","1975-1980","share_30plus",0.250397460163499,0.00992994150346543,0.01,10000,"all observed ages 12--49; exact ages <22 collapse to 18 and exact ages >=42 collapse to 42","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","bin_start >= 30; identical to exact age >= 30 under this operator"
"support_sensitivity","common_support_18_45","primary_1979_1984","1979-1984","mean_age_first_birth",26.6650697126504,0.0600022328484684,0.1,100,"exact ages 18--45 only; exact ages below 18 and above 45 excluded","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","not applicable"
"support_sensitivity","common_support_18_45","primary_1979_1984","1979-1984","share_30plus",0.28704834993347,0.00762421976052674,0.008,15625,"exact ages 18--45 only; exact ages below 18 and above 45 excluded","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","bin_start >= 30; identical to exact age >= 30 under this operator"
"support_sensitivity","common_support_18_45","sensitivity_1975_1980","1975-1980","mean_age_first_birth",26.605067479802,0.0600022328484684,0.1,100,"exact ages 18--45 only; exact ages below 18 and above 45 excluded","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","not applicable"
"support_sensitivity","common_support_18_45","sensitivity_1975_1980","1975-1980","share_30plus",0.279424130172943,0.00762421976052674,0.008,15625,"exact ages 18--45 only; exact ages below 18 and above 45 excluded","four-year model-cell midpoints 20,24,...,44; data and live model use these labels directly","bin_start >= 30; identical to exact age >= 30 under this operator"
"reference_not_model_comparable","exact_age_observed","primary_1979_1984","1979-1984","mean_age_first_birth",25.1627284234773,0.168994459605244,0.2,25,"observed exact ages 12--49; cohort right edge is truncated by the 2023 data endpoint","mother's exact integer age","not applicable"
"reference_not_model_comparable","exact_age_observed","primary_1979_1984","1979-1984","share_30plus",0.260327401666964,0.00992994150346543,0.01,10000,"observed exact ages 12--49; cohort right edge is truncated by the 2023 data endpoint","mother's exact integer age","exact age >= 30"
"reference_not_model_comparable","exact_age_observed","sensitivity_1975_1980","1975-1980","mean_age_first_birth",24.9937339638721,0.168994459605244,0.2,25,"observed exact ages 12--49; cohort right edge is truncated by the 2023 data endpoint","mother's exact integer age","not applicable"
"reference_not_model_comparable","exact_age_observed","sensitivity_1975_1980","1975-1980","share_30plus",0.250397460163499,0.00992994150346543,0.01,10000,"observed exact ages 12--49; cohort right edge is truncated by the 2023 data endpoint","mother's exact integer age","exact age >= 30"
