estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper,baseline_estimate
0.9895,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99,0.99
0.3360455629411119,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0,0.33773423411167025
0.39984573397615186,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0,0.39785645171756406
1.0444051750932455,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0,1.0496534423047694
8.07153997816502,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0,8.11210048056786
0.08064577817317972,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.08105103333987912
0.08477754880511479,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0,0.08520356663830632
0.2644359523053497,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0,0.26576477618628114
2.2885,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3,2.3
0.0,,,False,hbar_child_rooms,zero restriction,False,,,0.0
0.14824063921279804,,,False,psi_child,normalized to 2.1,False,,,0.1489153145785917
0.179,,,False,payroll_tax,externally fixed,False,,,0.179
2.0463613896121218,,,False,pension_period,budget derived,False,,,2.0463613896121218
0.63,,,False,housing_supply_elasticity,externally fixed,False,,,0.63
0.005,,,False,tenure_choice_kappa,externally fixed,False,,,0.005
0.733,,,False,alpha_cons,externally fixed,False,,,0.733
2.0,,,False,sigma,externally fixed,False,,,2.0
