restriction_id,option,scale,inverse_squared_scale,scale_kind,active_weight,status,qualification,source_provenance_contract
cps_childlessness,pooled_GVF_zero_crossyear_covariance,0.0037512549510131253,71063.53981313777,Pooled approximate sampling-scale candidate,,reference_only_unadopted,Annual official generalized-variance approximation. Pooled candidates condition on observed base shares; cross-year covariance and random conditional-mother bases are not certified. Neither scale is adopted.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
cps_childlessness,pooled_GVF_correlation_one,0.005305035738317728,35532.3042455214,Pooled approximate sampling-scale candidate,,reference_only_unadopted,Annual official generalized-variance approximation. Pooled candidates condition on observed base shares; cross-year covariance and random conditional-mother bases are not certified. Neither scale is adopted.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
cps_exactly_one,pooled_GVF_zero_crossyear_covariance,0.004307418797745566,53897.15012968891,Pooled approximate sampling-scale candidate,,reference_only_unadopted,Annual official generalized-variance approximation. Pooled candidates condition on observed base shares; cross-year covariance and random conditional-mother bases are not certified. Neither scale is adopted.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
cps_exactly_one,pooled_GVF_correlation_one,0.0060911302714076404,26952.820824310795,Pooled approximate sampling-scale candidate,,reference_only_unadopted,Annual official generalized-variance approximation. Pooled candidates condition on observed base shares; cross-year covariance and random conditional-mother bases are not certified. Neither scale is adopted.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
nchs_mean_age,conditional_multinomial_process,0.002249891508714525,197549.9147997385,"Process SE, not survey sampling SE",,reference_only_unadopted,Model-based process variation conditional on total first births; not a sampling SE and not adopted for SMM. Our mean-age delta-method extension is not a quoted NCHS formula.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
nchs_mean_age,annual_temporal_dispersion,0.0845673694617251,139.82806784479274,"Annual temporal SD, not SE",,reference_only_unadopted,"annual SD is period variation, not a sampling SE",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
nchs_mean_age,leave_one_year_sensitivity,0.03969117381891607,634.7637458574229,"Deterministic window-sensitivity scale, not SE",,reference_only_unadopted,Maximum leave-one-year shift; no scale adopted.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
nchs_share30,conditional_multinomial_process,0.000168243827885977,35328216.91368522,"Process SE, not survey sampling SE",,reference_only_unadopted,Model-based process variation conditional on total first births; not a sampling SE and not adopted for SMM. Our mean-age delta-method extension is not a quoted NCHS formula.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
nchs_share30,annual_temporal_dispersion,0.00849226186213262,13866.065434728798,"Annual temporal SD, not SE",,reference_only_unadopted,"annual SD is period variation, not a sampling SE",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
nchs_share30,leave_one_year_sensitivity,0.0037096109032545843,72668.01234084307,"Deterministic window-sensitivity scale, not SE",,reference_only_unadopted,Maximum leave-one-year shift; no scale adopted.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json
wealth_earnings,empirical_marginal_SE,0.36285515343369,7.595098472533724,person bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
bequest_wealth,inherited_external_synthetic_scale,0.00044000000000000007,5165289.256198346,"Synthetic scale, not empirical SE",,reference_only_unadopted,"External 0.0088 normalization; reference weight retained in provenance, but no complete active early objective.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
old_dispersion,empirical_marginal_SE,0.306910785103348,10.616361531535473,person bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
mean_rooms,empirical_marginal_SE,0.08838120078007809,128.02070205233477,42-metro bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
ownership_30_55,empirical_marginal_SE,0.020675272863460718,2339.3623724673616,42-metro bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
first_birth_rooms,empirical_marginal_SE,0.0852600513385958,137.5652749002964,"Sun-Abraham covariance contrast, clustered individual ID",,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
family_rooms,empirical_marginal_SE,0.059705154633000496,280.52808370152104,42-metro bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
recent_parent_ownership,empirical_marginal_SE,0.006079524679464666,27055.822957508266,42-metro bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
young_ownership,empirical_marginal_SE,0.0210233345992212,2262.5427570121606,42-metro bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
old_median,empirical_marginal_SE,0.522531159397481,3.662482966039228,reference-person bootstrap,,reference_only_unadopted,Available marginal uncertainty only; no activated weighting profile.,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json
