internal_key,label,current_value,working_weight,working_scale,uncertainty_label,authoritative_builder_and_source,source_path_provenance,estimator,sample,fixed_effects,clustering_or_uncertainty_design,event_or_measurement_clock,actual_scored_model_operator,empirical_concept_caveat,score_role,empirical_record_id,source_receipt_paths
initial_normalization,Model mean children ever born at ages46+,2.1,,,Unscored; no working weight or empirical SE,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/OVERNIGHT_PLAN.md,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/OVERNIGHT_PLAN.md,Author-selected stationary model normalization; not an empirical estimator,Stationary model household mass at ages46 and above; no empirical sampling population.,Not applicable,No empirical uncertainty; separate exact normalization with tolerance 5e-4,"Stationary age46+ household-weighted stock of children ever born, using the maintained value for the3+ category.",final.normalization.completed_fertility,"Author-selected2.1 normalization uses the inherited3+ representative3.602359; neither empirical period TFR nor literal mean of states0,1,2,3.",normalization_unscored,author_2_1,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
cps_childlessness,"Childless women, ages 40–44",0.19827875100684264,35532.3042455214,0.005305035738317728,"Approximate pooled CPS GVF scale; SE scale .005305035738317728; inverse-variance weight 35532.3042455214. Pooled fixed-base, correlation-one combination of annual official approximate GVF SEs; cross-year covariance and random ratio-base treatment unresolved.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/extract_fertility_availability.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/extract_fertility_availability.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,Weighted P(FREVER=0) among pooled June 2004 and June 2006 women age 40-44 with valid FREVER 0-20 and positive FRSUPPWT.,"June, femaleSEX2,age40-44,FREVER0-20,FRSUPPWT>0;excludeFREVER999NIU; 2004+2006 pooled weighted records; Weighted P(FREVER=0) among pooled June 2004 and June 2006 women age 40-44 with valid FREVER 0-20 and positive FRSUPPWT.",No regression effects; not established in saved receipt,Official approximate GVF convention; survey replicate/design covariance not established,"June CPS 2004 and 2006 cross-sectional children-ever-born stock, age 40-44; Weighted P(FREVER=0) among pooled June 2004 and June 2006 women age 40-44 with valid FREVER 0-20 and positive FRSUPPWT.","fertility.uniform_birth_time.moments.childless_rate_40_44; Uniform birth-time interpolation across four-year age cells, with fractional overlap at 40-44; uses the model household reproductive-member mass.",Legacy blocked_by_age_window_mapping metadata does not reflect the saved diagnostic adapter. Production mapping remains open because model household-member mass is not certified female population; weight contract is not activated. CPS FRSUPPWT/10000 is inherited from the loader; official Census crosswalk remains unverified.,scored_working_objective,cps_childless_women_40_44_2004_2006,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
cps_exactly_one,"Exactly one child among mothers, ages 40–44",0.21365532522014702,26952.820824310795,0.0060911302714076404,"Approximate pooled CPS GVF scale; SE scale .0060911302714076404; inverse-variance weight 26952.820824310795. Pooled fixed-base, correlation-one combination of annual official approximate GVF SEs; cross-year covariance and random ratio-base treatment unresolved.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/extract_fertility_availability.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/extract_fertility_availability.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/parameter_target_audit/fertility/fertility_availability.json | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,Weighted P(FREVER=1 | FREVER>=1) in the same pooled CPS sample.,"June, femaleSEX2,age40-44,FREVER0-20,FRSUPPWT>0;excludeFREVER999NIU; 2004+2006 pooled weighted records; Weighted P(FREVER=1 | FREVER>=1) in the same pooled CPS sample.",No regression effects; not established in saved receipt,Official approximate GVF convention; survey replicate/design covariance not established,"June CPS 2004 and 2006 cross-sectional children-ever-born stock, age 40-44; Weighted P(FREVER=1 | FREVER>=1) in the same pooled CPS sample.","fertility.uniform_birth_time.moments.exactly_one_among_mothers_40_44; Exactly-one-child stock divided by the stock of mothers, using the same age projection.","Legacy blocked_by_age_window_mapping metadata does not reflect the saved diagnostic adapter. Production mapping remains open because household reproductive-member mass is not certified female exposure, and CPS pooled-GVF convention is not design-exact or activated.",scored_working_objective,cps_exactly_one_among_mothers_40_44_2004_2006,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
nchs_mean_age,Period mean first-birth age,25.976263860992496,139.82806784479274,0.0845673694617251,"Annual 2003-2006 temporal SD (period dispersion; not sampling SE); Scale .0845673694617251 years; inverse-variance weight 139.82806784479274, using the annual 2003-2006 temporal SD. This is a typical-year discrepancy convention, not a sampling SE.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/build_first_birth_timing.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/build_first_birth_timing.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,"Pooled national first-birth counts ages 12-49, 2003-2006; age <=21 mapped to midpoint 20, 22-25 to 24, ..., age >=42 to 44; count-weighted mean.","US-named raw files; exact/decoded age12-49 and known live-birth order1; 2003 under15 recode mapped14; Pooled national first-birth counts ages 12-49, 2003-2006; age <=21 mapped to midpoint 20, 22-25 to 24, ..., age >=42 to 44; count-weighted mean.",No regression effects; not established in saved receipt,Not applicable to pooled administrative counts; no sampling cluster estimate,"Pooled national first-birth count flow, calendar 2003-2006; Pooled national first-birth counts ages 12-49, 2003-2006; age <=21 mapped to midpoint 20, 22-25 to 24, ..., age >=42 to 44; count-weighted mean.",fertility.uniform_birth_time.moments.period_mean_age_first_birth; First-birth flow weighted mean of model age-cell midpoints in the stationary economy.,"Legacy adapter-available wording is now partly stale because a saved period-flow diagnostic mapper exists. Production-period comparability remains open: no residence filter, boundary-age pooling, and stationary model population versus a four-year historical period target; uncertainty scale is a declared discrepancy convention, not sampling error.",scored_working_objective,nchs_period_mean_age_first_birth_2003_2006,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
nchs_share30,First births at age 30+,0.2492780130410667,13866.065434728798,0.00849226186213262,"Annual 2003-2006 temporal SD (period dispersion; not sampling SE); Scale .00849226186213262; inverse-variance weight 13866.065434728798, using the annual 2003-2006 temporal SD. This is a typical-year discrepancy convention, not a sampling SE.",/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/build_first_birth_timing.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/build_first_birth_timing.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/verify_fertility_contract.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/code/data/nchs_natality_timing/first_birth_counts_year_age.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/fertility_contract/fertility_target_contract.json,"Pooled national first-birth counts ages 12-49, 2003-2006; exact maternal age >=30 divided by all first births in the pooled window.","US-named raw files; exact/decoded age12-49 and known live-birth order1; 2003 under15 recode mapped14; Pooled national first-birth counts ages 12-49, 2003-2006; exact maternal age >=30 divided by all first births in the pooled window.",No regression effects; not established in saved receipt,Not applicable to pooled administrative counts; no sampling cluster estimate,"Pooled national first-birth count flow, calendar 2003-2006; Pooled national first-birth counts ages 12-49, 2003-2006; exact maternal age >=30 divided by all first births in the pooled window.",fertility.uniform_birth_time.moments.period_share_first_births_age30plus; Share of model first-birth flow in cells beginning at 30 or above.,Legacy adapter-available wording is now partly stale. Production comparability remains open because model age-cell flow proxies maternal ages and the empirical period counts have unverified residence scope; temporal SD is not a sampling uncertainty estimate and the stationary-period approximation is not certified.,scored_working_objective,nchs_period_first_birth_share_age30plus_2003_2006,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
wealth_earnings,Wealth / annual gross labor earnings,6.14586139445743,7.595098472533724,0.36285515343369,Person-cluster bootstrap SE; 0.36285515343369; inverse variance,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/aggregate_wealth_results.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/aggregate_wealth_results.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,sum(IW*NETWORTHR)/sum_{age<=65}(IW*EARNINDRRC),"PSID reference persons ages 18-85, relation_to_head=10, positive IW, finite NETWORTHR; working-age gross earnings required/nonnegative; 2003-2005; actual selected waves 2003 and 2005; 10,828 family-years/6,018 IDs in wealth, 9,265 family-years/5,215 IDs in earnings.",None,"Reference-person ID bootstrap (999 reps, seed 20260723); no FE",PSID wealth stock and working-age gross labor-earnings flow; waves 2003 and 2005; sum(IW*NETWORTHR)/sum_{age<=65}(IW*EARNINDRRC),"housing_wealth.moments.aggregate_wealth_to_annual_gross_labor_earnings; Beginning net financial wealth plus owner housing value, divided by annualized gross model labor earnings. Four-year flows are annualized once and payroll tax is grossed up.",Arithmetic and annualization are verified. Reconcile mortgage/net-worth components and stock versus income reference dates before treating this as an exact empirical counterpart.,scored_working_objective,psid_wealth_gross_earnings_2003_2005,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
bequest_wealth,Annual bequests / aggregate wealth,0.0088,5165289.256198346,0.00044000000000000007,"Inherited synthetic scale (0.00044000000000000007); five percent of value, not an SE",No microdata builder | external literature normalization | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/tmp/e5f_matched_pf/code/model/intergen_eqscale_seq_optimized/e5_target_provenance.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,No microdata builder | external literature normalization | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/tmp/e5f_matched_pf/code/model/intergen_eqscale_seq_optimized/e5_target_provenance.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,annual bequest flow / aggregate wealth,external restriction,None / not applicable,Not applicable; external restriction; no FE,"Annual external bequest-to-wealth restriction, borrowed through De Nardi-Yang2014 Table2; original Gale-Scholz1993 working-paper Table4 uses SCF-based aggregates; exact survey window not rechecked here.","housing_wealth.moments.annual_bequest_flow_to_aggregate_wealth; Expected nonnegative estate flows at death, annualized once, divided by aggregate beginning wealth; terminal death is imposed.",Original source measure applies recipient/estate coverage adjustments absent from the model full nonnegative estate flow. The inherited5% tolerance is synthetic. Keep or revise only as an explicit external restriction with bequest-block identification considered.,scored_working_objective,external_annual_bequest_wealth,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
old_dispersion,"Old wealth/income p90 / median, ages 76–84",3.51593508651872,10.616361531535473,0.306910785103348,Person-cluster bootstrap SE; 0.306910785103348; inverse variance,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/old_wealth_results.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/build_initial_wealth.R | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/wealth/old_wealth_results.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,"Q_.90(NETWORTHR/INCFAMR)/Q_.50(NETWORTHR/INCFAMR), weighted","Living PSID reference persons ages 76-84, relation_to_head=10, positive IW, completed children observed, INCFAMR>1000; p90/p50 of NETWORTHR/INCFAMR; 2003-2005; 644 valid family-years/416 IDs; bootstrap population 918 living reference IDs ages 65-84, before outcome/children filters.",None,"Reference-person ID bootstrap (499 reps, seed 20260715); no FE","PSID wealth/family-income ratio distribution; waves 2003 and 2005; Q_.90(NETWORTHR/INCFAMR)/Q_.50(NETWORTHR/INCFAMR), weighted","housing_wealth.moments.old_total_wealth_to_annual_income_p90_p50_7684; Same quantile operation and explicit 76-84 cell overlap, but income is modeled pension plus configured transfer. The scorer unambiguously uses this observer, not the legacy label-age statistic.","Family income contains components absent from the pension proxy. Income threshold, observed-history selection and wealth components need reconciliation. This is a substantive mapping issue, not an ambiguous active scorer. At saved B all sampled retirees have constant model pension, so model wealth-level and wealth/income quantile ratios coincide. Same-sample empirical wealth-level candidate4.919429 (SE.579804) is separate.",scored_working_objective,psid_old_wealth_dispersion_2003_2005,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
mean_rooms,"Mean occupied rooms, capped at 9",5.561097376118652,128.02070205233477,0.08838120078007809,42-metro bootstrap SE 0.08838120078007809; inverse variance,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/summarize_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/early_housing_target_candidates.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/summarize_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/early_housing_target_candidates.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,"sum(HHWT*min(ROOMS,9))/sum(HHWT)",ACS household heads ages 18-85; occupied renter or owner; HHWT>0; 42 MET2013 cities; 2005-2006 pooled by summed HHWT numerator/denominator; inherits all common_acs_sample filters,None,"42 MET2013 metro paired bootstrap (1,000 draws, seed 20260910); no FE","sum(HHWT*min(ROOMS,9))/sum(HHWT) ACS survey years 2005-2006; ROOMS>0 and min(ROOMS,9) before aggregate.",housing_wealth.moments.aggregate_mean_occupied_rooms_capped9_18_85; Current realized owner/renter rooms capped at 9 in every income-resolved state before aggregation. Fractional age exposure is implemented.,Cap/order implementation is verified. Decide national versus 42 metros and define the represented housing sample. Saved national counterpart is 5.607886.,scored_working_objective,acs_rooms_2005_2006,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
ownership_30_55,"Ownership, heads 30–55",0.6483340343191493,2339.3623724673616,0.020675272863460718,42-metro bootstrap SE 0.020675272863460718; inverse variance,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/summarize_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/early_housing_target_candidates.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,/Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/inspect_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/summarize_early_housing.py | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/housing/early_housing_target_candidates.csv | /Users/tommasodesanto/Desktop/Projects/Fertility/Fertility_Spring26/output/model/e5f_matched_pf_20260909a/design_research/observer_contract/observer_contract.json,sum(HHWT*owner)/sum(HHWT),ACS heads ages 30-55; DUE structures UNITSSTR 3:10; HHWT>0; 42 MET2013 cities; 2005-2006; inherits all common_acs_sample filters,None,"42 MET2013 metro paired bootstrap (1,000 draws, seed 20260910); no FE",sum(HHWT*owner)/sum(HHWT) ACS survey years 2005-2006; UNITSSTR 3:10; age range 30-55.,"housing_wealth.moments.own_rate_30_55; Current realized owner mass over total mass, with half of the 54-57 cell included. No whole-cell age-mask error.",Within-cell age uniformity is explicit. Geography and ACS structure types need a model interpretation. Saved national counterpart is 67.6260%; switching geography does not cure low ownership.,scored_working_objective,acs_ownership_30_55_2005_2006,"[""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_contract.json"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_wealth_v1/staging/contracts/working_weights.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/earnings_entry_battery_v1/final_readout/B/selected/target_fit.csv"", ""output/model/native_financing_diagnostic_20260919/specification_followup/target_review_v1/target_catalogue.csv""]"
