arm,case,policy,row_order,metric,value,unit
floor,rebated_tax2,Rebated 2% tax,1,completed fertility change,0.007482569081554313,children per household
floor,rebated_tax2,Rebated 2% tax,2,completed fertility change,0.37787828807949175,percent
floor,rebated_tax2,Rebated 2% tax,3,births per household change,0.33363042252556596,percent
floor,rebated_tax2,Rebated 2% tax,4,stationary total births change,2.0340929029104338,percent
floor,rebated_tax2,Rebated 2% tax,5,household population change under quota,1.6948080850098357,percent
floor,rebated_tax2,Rebated 2% tax,6,required immigration change at fixed population,-1.7416169783316726,percent
floor,rebated_tax2,Rebated 2% tax,7,fertility gap closed,1.7416169783316726,percent
floor,rebated_tax2,Rebated 2% tax,8,house price change,-17.534148718328936,percent
floor,rebated_tax2,Rebated 2% tax,9,rent change,-17.534148718328936,percent
floor,rebated_tax2,Rebated 2% tax,10,4.917 times fixed-population dlnB,1.7385399109598376,log-percent
floor,rebated_tax2,Rebated 2% tax,11,realized dln household population,1.680606448508934,log-percent
floor,rebated_tax2,Rebated 2% tax,12,housing-feedback damping,0.05793346245090358,percentage points
floor,rebated_tax2,Rebated 2% tax,13,unidentified entry-response sensitivity (lambda=2),9.980113574013117,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,1,completed fertility change,0.014847159874130877,children per household
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,2,completed fertility change,0.7497985377655336,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,3,births per household change,0.6746201169030464,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,4,stationary total births change,4.161517185232366,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,5,household population change under quota,3.4635313888250474,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,6,required immigration change at fixed population,-3.517842792048864,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,7,fertility gap closed,3.517842792048864,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,8,house price change,-17.289618521807924,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,9,rent change,-17.289618521807924,percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,10,4.917 times fixed-population dlnB,3.5053187842167137,log-percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,11,realized dln household population,3.4049010895011707,log-percent
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,12,housing-feedback damping,0.10041769471554307,percentage points
floor,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,13,unidentified entry-response sensitivity (lambda=2),10.103765795115805,percent
tilt,rebated_tax2,Rebated 2% tax,1,completed fertility change,0.004009815357184365,children per household
tilt,rebated_tax2,Rebated 2% tax,2,completed fertility change,0.202250439544982,percent
tilt,rebated_tax2,Rebated 2% tax,3,births per household change,0.1781959988060633,percent
tilt,rebated_tax2,Rebated 2% tax,4,stationary total births change,1.0769246608573146,percent
tilt,rebated_tax2,Rebated 2% tax,5,household population change under quota,0.8971300122653014,percent
tilt,rebated_tax2,Rebated 2% tax,6,required immigration change at fixed population,-0.9180936851927668,percent
tilt,rebated_tax2,Rebated 2% tax,7,fertility gap closed,0.9180936851927668,percent
tilt,rebated_tax2,Rebated 2% tax,8,house price change,-17.709551040551553,percent
tilt,rebated_tax2,Rebated 2% tax,9,rent change,-17.709551040551553,percent
tilt,rebated_tax2,Rebated 2% tax,10,4.917 times fixed-population dlnB,0.9172376541411208,log-percent
tilt,rebated_tax2,Rebated 2% tax,11,realized dln household population,0.8931297084531673,log-percent
tilt,rebated_tax2,Rebated 2% tax,12,housing-feedback damping,0.02410794568795349,percentage points
tilt,rebated_tax2,Rebated 2% tax,13,unidentified entry-response sensitivity (lambda=2),8.988331987481946,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,1,completed fertility change,0.009689512421466207,children per household
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,2,completed fertility change,0.4887277771298937,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,3,births per household change,0.44066403722990977,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,4,stationary total births change,2.681889602021559,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,5,household population change under quota,2.2313926199859724,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,6,required immigration change at fixed population,-2.2631378689308757,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,7,fertility gap closed,2.2631378689308757,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,8,house price change,-17.210473095366996,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,9,rent change,-17.210473095366996,percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,10,4.917 times fixed-population dlnB,2.2579457134632914,log-percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,11,realized dln household population,2.206861310794305,log-percent
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,12,housing-feedback damping,0.051084402668986506,percentage points
tilt,rebated_tax2_grant0p4_Hge6,Rebated 2% tax + purchase grant,13,unidentified entry-response sensitivity (lambda=2),9.062228104447033,percent
