parameter,estimate,lower,upper,transform,near_bound,status,interpretation
beta_annual,0.9952895455644405,0.94,0.9995,discount,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert,1.9789616390049722,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
kappa_fert_continuation,1.6024860768026412,0.02,50.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
chi,1.063647579446983,0.1,5.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
H0,7.20631021430662,0.2,80.0,log,False,diagnostic candidate; not a certified estimate,structural coordinate
theta0,0.4575481081401139,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
theta1,0.10498179808997932,0.02,16.0,log,True,diagnostic candidate; not a certified estimate,structural coordinate
first_birth_fixed_cost,4.300521327486604,0.0,8.0,softzero,False,diagnostic candidate; not a certified estimate,structural coordinate
h_P,0.8886744138343807,0.1,2.3,log,False,diagnostic candidate; not a certified estimate,mapped first-child requirement
hbar_child_rooms,0.0,,,,False,zero restriction,
psi_child,0.30097237970803165,,,,False,normalized to 2.1,
payroll_tax,0.179,,,,False,externally fixed,
pension_period,2.0463613896121218,,,,False,budget derived,
housing_supply_elasticity,0.63,,,,False,externally fixed,
tenure_choice_kappa,0.005,,,,False,externally fixed,
alpha_cons,0.733,,,,False,externally fixed,
sigma,2.0,,,,False,externally fixed,
