moment,target,model,benchmark_model,notes
tfr,1.7,1.8994589159380744,1.898,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
childless_rate,0.15,0.14844307904254636,0.145,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
mean_age_first_birth,26.0,33.69843459198615,33.535,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
tfr_gradient,0.133,0.10976270064426852,0.119,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
own_rate,0.627,0.5778800949698324,0.643,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
own_gradient,0.17,0.018179423537480033,0.139,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
own_family_gap,0.11,0.07037125331748423,0.114,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
prime_childless_renter_median_rooms,4.0,6.5,6.365,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
prime_childless_owner_median_rooms,6.0,8.2,6.8,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
housing_increment_0to1,0.66443467,0.41781467548236506,0.441,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
housing_increment_1to2,0.56581378,0.25183451363889464,0.192,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
young_liquid_wealth_to_income,0.6,0.8152579567278789,0.527,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
center_share_nonparents,0.494,0.41178540286251064,0.405,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
center_share_newparents,0.416,0.39355418679645116,0.382,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
migration_rate,0.032,0.0351293100754374,0.035,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
old_age_own_rate,0.863,0.7674145950855256,0.947,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
old_age_parent_childless_gap,0.07,-0.043788463894820384,0.062,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
inv_pop_share_C,0.45,0.447449092174355,0.441,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
inv_rent_ratio_C_over_P,1.14,1.1778683233222522,1.182,V3 full type-price/entry fixed point; exact realized-rent type pricing; no ordinary price pinning
