moment,target,model,benchmark_model,notes
tfr,1.7,1.8898110152031142,1.898,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
childless_rate,0.15,0.14750859614021966,0.145,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
mean_age_first_birth,26.0,33.552927521005635,33.535,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
tfr_gradient,0.133,0.11918952031590324,0.119,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
own_rate,0.627,0.6469116721423773,0.643,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
own_gradient,0.17,0.14517326929550434,0.139,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
own_family_gap,0.11,0.10635153497631245,0.114,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
prime_childless_renter_median_rooms,4.0,6.35854928443003,6.365,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
prime_childless_owner_median_rooms,6.0,6.8,6.8,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
housing_increment_0to1,0.66443467,0.4416900316233763,0.441,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
housing_increment_1to2,0.56581378,0.1757127866434809,0.192,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
young_liquid_wealth_to_income,0.6,0.5113925147216283,0.527,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
center_share_nonparents,0.494,0.4015852063404745,0.405,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
center_share_newparents,0.416,0.377515568940763,0.382,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
migration_rate,0.032,0.03498714721011459,0.035,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
old_age_own_rate,0.863,0.8364883868229411,0.947,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
old_age_parent_childless_gap,0.07,-0.01820938853442544,0.062,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
inv_pop_share_C,0.45,0.43850095747815193,0.441,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
inv_rent_ratio_C_over_P,1.14,1.18521700879236,1.182,target from copied direct setup; benchmark model from CALIBRATION_STATUS.md
